source,market_id,player_name,match_name,match_key,match_start_time,status,label,would_have_worked,n_pre_snapshots,pre_span_minutes,best_wave_pp,entry_time,entry_lead_minutes,entry_prob,peak_prob,peak_time,peak_lead_minutes,move_at_start_pp,max_dip_after_entry_pp,entry_spread,entry_volume,entry_velocity5_pp,entry_band,max_prematch_watch_score,n_prematch_score_rows,alerted_prematch,first_prematch_alert_type,first_prematch_alert_at,alerted_any
polymarket,0x3bbf9fb458d42c0003e57ead1a588ea3f3a9091a8ae68192824db1af59ad915c,Maxwell Exsted,ITF Claremont: Maxwell Exsted vs Matt Kuhar,matt kuhar|maxwell exsted,2026-06-25T22:00:00,completed,wave_5pp,1,20,1152.9,55.5,2026-06-24T22:42:30.900247,1397.5,0.335,0.89,2026-06-24T23:47:12.719989,1332.8,55.5,0.0,0.61,240.788437,-20.5,30-60%,51.0,15,0,,,0
polymarket,0xbcb7437f18d7584756c00348a33bc65312caf06ae719750dbdd02f684bd5dd0c,Jannik Sinner,Wimbledon ATP: Jannik Sinner vs Miomir Kecmanovic,jannik sinner|miomir kecmanovic,2026-06-29T12:35:00,completed,wave_5pp,1,60,3286.8,48.75,2026-06-27T05:12:56.097182,3322.1,0.485,0.9725,2026-06-29T11:54:28.234799,40.5,48.75,0.0,0.95,,,30-60%,41.0,14,0,,,0
polymarket,0x327974145a4b5715f96479d3b3aef22eb7adf1970b73648543559951b2336cbc,Ajdukovic/Kalender,Targu Mures (Doubles): Ajdukovic/Kalender vs Latinovic/Vrbensky,ajdukovic kalender|latinovic vrbensky,2026-06-25T12:00:00,completed,wave_5pp,1,10,665.4,47.5,2026-06-24T22:38:18.778899,801.7,0.5,0.975,2026-06-24T23:47:12.719989,732.8,-0.5,0.0,0.94,,,30-60%,36.0,7,0,,,0
polymarket,0xd5838264762005cb3e74033b5b12e7066cb2bb85e313148af0f6a62d2b3c1ef4,Diego Dedura-Palomero,Milan: Diego Dedura-Palomero vs Miguel Damas,diego dedura palomero|miguel damas,2026-06-29T14:00:00,completed,wave_5pp,1,38,2266.0,47.5,2026-06-27T22:13:43.758479,2386.3,0.5,0.975,2026-06-27T23:18:03.702731,2321.9,15.1,0.0,0.96,,,30-60%,46.0,15,0,,,0
polymarket,0x15e1f23264f41fdedff4af8f07f5339305fc1f75e13b6e7393c9d459b5e6761f,Matthew Dellavedova,ITF Wuning: Matthew Dellavedova vs Kanan Gasimov,kanan gasimov|matthew dellavedova,2026-06-24T04:00:00,completed,wave_5pp,1,5,132.9,46.5,2026-06-23T22:06:45.196736,353.2,0.5,0.965,2026-06-23T23:18:11.010958,281.8,45.5,0.0,1.0,,,30-60%,19.0,1,0,,,0
polymarket,0x3ed4e46943e632b2c712d914ec3842361c58851340c84872cefaeac04a365d24,Marente Sijbesma,ITF Alkmaar: Marente Sijbesma vs Isis Louise Van Den Broek,isis louise van den broek|marente sijbesma,2026-06-25T09:00:00,completed,wave_5pp,1,28,1847.2,46.5,2026-06-24T04:38:50.462865,1701.2,0.05,0.515,2026-06-24T08:02:22.727525,1497.6,0.5,0.0,0.02,,,2-12%,28.0,28,1,NEW_LOW_WATCH,2026-06-24T04:39:18.760797,1
polymarket,0x5129a2db0eb7408a4478a1298cc0d8ac64379c3eebb0815bcf41aabe20373868,Aryna Sabalenka,Wimbledon WTA: Aryna Sabalenka vs Teodora Kostovic,aryna sabalenka|teodora kostovic,2026-06-29T16:00:00,completed,wave_5pp,1,62,3507.2,46.5,2026-06-27T05:12:56.097182,3527.1,0.49,0.955,2026-06-29T15:35:23.342419,24.6,46.5,0.0,0.92,,,30-60%,43.0,10,0,,,0
polymarket,0x6e4ab3d0680817185ab5360dafaaeae16fad37448e34c5b64d3b37dfcf8e63ea,Felix Auger-Aliassime,Wimbledon ATP: Felix Auger-Aliassime vs Alexander Shevchenko,alexander shevchenko|felix auger aliassime,2026-06-29T15:50:00,completed,wave_5pp,1,62,3507.2,46.5,2026-06-27T05:12:56.097182,3517.1,0.485,0.95,2026-06-29T15:35:23.342419,14.6,46.0,0.0,0.93,,,30-60%,43.0,11,0,,,0
polymarket,0xfbf2994ad594485969dc789d43798b5f46d8182c09b11cd12bf404f4fbc7d9b4,Duru Soke,ITF Kayseri: Duru Soke vs Hana Shabanpour,duru soke|hana shabanpour,2026-06-24T09:15:00,completed,wave_5pp,1,9,601.5,45.5,2026-06-23T22:06:45.196736,668.2,0.5,0.955,2026-06-23T23:18:11.010958,596.8,45.45,0.0,0.96,,,30-60%,24.0,2,0,,,0
polymarket,0x0a0cfe514a05f518f1a507138dd8b9c592d8d837f0dfb0f9d5424c0d33250bea,Emily Sartz-Lunde,ITF Monastir: Emily Sartz-Lunde vs Mirabelle Tahiri,emily sartz lunde|mirabelle tahiri,2026-06-24T08:30:00,completed,wave_5pp,1,9,601.5,45.0,2026-06-23T22:06:45.196736,623.2,0.5,0.95,2026-06-24T00:14:06.919102,495.9,45.0,0.0,1.0,,,30-60%,28.0,5,0,,,0
